Area code,Area name,Time period,Value (number of enterprises)
E06000001,Hartlepool,2022,2430
E06000002,Middlesbrough,2022,4040
E06000003,Redcar and Cleveland,2022,3420
E06000004,Stockton-on-Tees,2022,6170
E06000005,Darlington,2022,3700
E06000006,Halton,2022,4035
E06000007,Warrington,2022,9670
E06000008,Blackburn with Darwen,2022,6270
E06000009,Blackpool,2022,4670
E06000010,Kingston upon Hull,2022,7765
E06000011,East Riding of Yorkshire,2022,13385
E06000012,North East Lincolnshire,2022,5240
E06000013,North Lincolnshire,2022,5930
E06000014,York,2022,7535
E06000015,Derby,2022,8515
E06000016,Leicester,2022,16150
E06000017,Rutland,2022,1860
E06000018,Nottingham,2022,10510
E06000019,Herefordshire,2022,9070
E06000020,Telford and Wrekin,2022,6210
E06000021,Stoke-on-Trent,2022,7630
E06000022,Bath and North East Somerset,2022,8980
E06000023,Bristol,2022,20545
E06000024,North Somerset,2022,9560
E06000025,South Gloucestershire,2022,10935
E06000026,Plymouth,2022,7150
E06000027,Torbay,2022,4545
E06000030,Swindon,2022,8265
E06000031,Peterborough,2022,9345
E06000032,Luton,2022,9665
E06000033,Southend-on-Sea,2022,8020
E06000034,Thurrock,2022,8065
E06000035,Medway,2022,10130
E06000036,Bracknell Forest,2022,5040
E06000037,West Berkshire,2022,8710
E06000038,Reading,2022,7610
E06000039,Slough,2022,7405
E06000040,Windsor and Maidenhead,2022,10210
E06000041,Wokingham,2022,9385
E06000042,Milton Keynes,2022,13980
E06000043,Brighton and Hove,2022,16810
E06000044,Portsmouth,2022,6945
E06000045,Southampton,2022,9160
E06000046,Isle of Wight,2022,4805
E06000047,County Durham,2022,14930
E06000049,Cheshire East,2022,19970
E06000050,Cheshire West and Chester,2022,14185
E06000051,Shropshire,2022,13780
E06000052,Cornwall,2022,23570
E06000053,Isles of Scilly,2022,165
E06000054,Wiltshire,2022,21490
E06000055,Bedford,2022,8075
E06000056,Central Bedfordshire,2022,13060
E06000057,Northumberland,2022,10570
E06000058,"Bournemouth, Christchurch and Poole",2022,17220
E06000059,Dorset,2022,17400
E06000060,Buckinghamshire,2022,33810
E06000061,North Northamptonshire,2022,18005
E06000062,West Northamptonshire,2022,21950
E07000008,Cambridge,2022,5430
E07000009,East Cambridgeshire,2022,3910
E07000010,Fenland,2022,3730
E07000011,Huntingdonshire,2022,8080
E07000012,South Cambridgeshire,2022,8505
E07000026,Allerdale,2022,3310
E07000027,Barrow-in-Furness,2022,1765
E07000028,Carlisle,2022,4320
E07000029,Copeland,2022,1700
E07000030,Eden,2022,2575
E07000031,South Lakeland,2022,5650
E07000032,Amber Valley,2022,4815
E07000033,Bolsover,2022,2355
E07000034,Chesterfield,2022,3665
E07000035,Derbyshire Dales,2022,3945
E07000036,Erewash,2022,4500
E07000037,High Peak,2022,4015
E07000038,North East Derbyshire,2022,3495
E07000039,South Derbyshire,2022,4450
E07000040,East Devon,2022,6275
E07000041,Exeter,2022,4870
E07000042,Mid Devon,2022,3435
E07000043,North Devon,2022,4110
E07000044,South Hams,2022,4710
E07000045,Teignbridge,2022,5710
E07000046,Torridge,2022,2700
E07000047,West Devon,2022,2405
E07000061,Eastbourne,2022,3570
E07000062,Hastings,2022,3205
E07000063,Lewes,2022,4495
E07000064,Rother,2022,4130
E07000065,Wealden,2022,8615
E07000066,Basildon,2022,8650
E07000067,Braintree,2022,6915
E07000068,Brentwood,2022,4735
E07000069,Castle Point,2022,3615
E07000070,Chelmsford,2022,8890
E07000071,Colchester,2022,8000
