geo_code,geo_label,geo_labelw,label,name,HubName,HubDist
W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,W92000004W06000016,Rhondda Cynon Taf,"1279",4.26957822183744
S12000013,Eilean Siar,,S92000003S12000013,Eilean Siar,"1449",266.680694326243
W06000013,Bridgend,Pen-y-bont ar Ogwr,W92000004W06000013,Bridgend,"1304",6.38839272684149
E07000138,Lincoln,,E92000001E07000138,Lincoln,"660",4.0626706839971
E07000166,Richmondshire,,E92000001E07000166,Richmondshire,"15",13.2404487616982
E07000105,Ashford,,E92000001E07000105,Ashford,"1190",4.86061473355172
95JJ,Coleraine,,N9200000295JJ,Coleraine,"1549",136.268937709764
W06000022,Newport,Casnewydd,W92000004W06000022,Newport,"1297",2.63655447538846
E08000034,Kirklees,,E92000001E08000034,Kirklees,"170",0.658468473351233
E07000126,South Ribble,,E92000001E07000126,South Ribble,"200",1.26571557518348
S12000006,Dumfries & Galloway,,S92000003S12000006,Dumfries & Galloway,"1357",25.3898469027015
E09000023,Lewisham,,E92000001E09000023,Lewisham,"1006",1.3788386056209
E06000018,Nottingham,,E92000001E06000018,Nottingham,"680",0.940662687666829
E09000028,Southwark,,E92000001E09000028,Southwark,"1002",2.48093013019391
E07000133,Melton,,E92000001E07000133,Melton,"846",6.09318154794826
E07000219,Nuneaton and Bedworth,,E92000001E07000219,Nuneaton and Bedworth,"896",2.49853588662102
95DD,Ballymena,,N9200000295DD,Ballymena,"1365",119.119861605064
E07000097,East Hertfordshire,,E92000001E07000097,East Hertfordshire,"713",6.7911402691516
E06000039,Slough,,E92000001E06000039,Slough,"1233",1.32266723894333
E07000199,Tamworth,,E92000001E07000199,Tamworth,"757",1.51142784573253
E07000173,Gedling,,E92000001E07000173,Gedling,"679",6.35607974019161
E07000082,Stroud,,E92000001E07000082,Stroud,"1068",1.24808839487992
E06000034,Thurrock,,E92000001E06000034,Thurrock,"1020",7.59085697969297
W06000019,Blaenau Gwent,Blaenau Gwent,W92000004W06000019,Blaenau Gwent,"1284",10.6740749483418
E09000025,Newham,,E92000001E09000025,Newham,"1629",2.18422870691285
S12000046,Glasgow City,,S92000003S12000046,Glasgow City,"1399",1.53376037159961
E06000027,Torbay,,E92000001E06000027,Torbay,"1160",10.212444943869
E09000024,Merton,,E92000001E09000024,Merton,"994",1.52933639966314
E07000030,Eden,,E92000001E07000030,Eden,"28",9.48991874476564
E06000017,Rutland,,E92000001E06000017,Rutland,"771",3.61382097556141
E07000209,Guildford,,E92000001E07000209,Guildford,"1248",4.46267224285213
E07000188,Sedgemoor,,E92000001E07000188,Sedgemoor,"1026",6.74562410684105
E06000035,Medway,,E92000001E06000035,Medway,"1036",5.19037663673124
E09000029,Sutton,,E92000001E09000029,Sutton,"1099",2.09833911494764
E07000148,Norwich,,E92000001E07000148,Norwich,"834",1.53975375522136
S12000038,Renfrewshire,,S92000003S12000038,Renfrewshire,"1329",3.44311324843795
E06000006,Halton,,E92000001E06000006,Halton,"252",4.84832111435638
E07000177,Cherwell,,E92000001E07000177,Cherwell,"966",1.51279358256611
E07000081,Gloucester,,E92000001E07000081,Gloucester,"639",6.28633853331898
E09000019,Islington,,E92000001E09000019,Islington,"1214",0.405823640800994
E07000119,Fylde,,E92000001E07000119,Fylde,"356",1.09091005119086
95FF,Banbridge,,N9200000295FF,Banbridge,"1313",152.236656817593
E07000226,Crawley,,E92000001E07000226,Crawley,"1029",1.52346454894437
E06000013,North Lincolnshire,,E92000001E06000013,North Lincolnshire,"468",7.38823616539979
E07000108,Dover,,E92000001E07000108,Dover,"1188",7.70975916228491
E06000014,York,,E92000001E06000014,York,"1619",1.49346123800949
95HH,Carrickfergus,,N9200000295HH,Carrickfergus,"1365",110.383678987452
E06000016,Leicester,,E92000001E06000016,Leicester,"768",0.826321872857721
E07000062,Hastings,,E92000001E07000062,Hastings,"1595",0.86647466890304
E07000010,Fenland,,E92000001E07000010,Fenland,"926",4.74834660650446
E08000020,Gateshead,,E92000001E08000020,Gateshead,"1557",2.98434375690601
E41000052,"Cornwall,Isles of Scilly",,E92000001E41000052,"Cornwall,Isles of Scilly","1167",20.0935920383435
