Registration district,Country,Year,Total,latitude,longitude
ABBEY,BATH,1861,1200.344146,51.38346581,-2.364779122
ABBEY HOLME,,1861,652.7520463,54.80747117,-3.325823534
ABBEY HOLME,,1861,652.7520463,54.8543206,-3.244027583
ABBOTS BROMLEY,,1861,270.0907563,52.82412075,-1.87175129
ABBOTS BROMLEY,,1861,270.0907563,52.85944109,-1.918171075
ABBOTS LANGLEY,,1861,182.2277847,51.71082653,-0.435861492
ABBOTSBURY,,1861,156.1535433,50.69374929,-2.63430323
ABBOTSBURY,,1861,156.1535433,50.66016808,-2.56010012
ABERDARE,ABERDARE,1861,1161.513657,51.65670661,-3.504883801
ABERDARE,ABERDARE,1861,1161.513657,51.69301013,-3.385050757
ABERDARE,ABERDARE,1861,1161.513657,51.73926423,-3.482936943
ABERDARON,,1861,443.3333333,52.8378672,-4.666296518
ABERFORD,,1861,417.4892725,53.81109672,-1.243399146
ABERFORD,,1861,417.4892725,53.84573333,-1.4702
ABERFORD,,1861,417.4892725,53.82676707,-1.386040736
ABERFORD,,1861,417.4892725,53.8123,-1.2056
ABERGAVENNY,,1861,698.5262833,51.82269176,-3.01347052
ABERGELE,,1861,576.6711864,53.2376839,-3.614764859
ABERGWESSIN,,1861,304.7363322,52.18450906,-3.686262329
ABERGWESSIN,,1861,304.7363322,52.14544063,-3.554783709
ABERYSTRUTH,,1861,369.8786301,51.75670384,-3.153635308
ABERYSTRUTH,,1861,369.8786301,51.78462436,-3.125403963
ABERYSTWITH,,1861,887.0304926,52.39504292,-4.055112996
ABINGDON,,1861,704.6500462,51.68368548,-1.304954907
ABTHORPE,,1861,388.7159029,52.12475783,-1.066322778
ACCRINGTON,ACCRINGTON,1861,767.9215732,53.7451268,-2.35281059
ACTON,LONDON,1861,421.5516864,51.51437943,-0.263656418
ACTON,LONDON,1861,421.5516864,51.53305544,-0.336116044
ACTON,LONDON,1861,421.5516864,51.51336667,-0.2809
ADDINGHAM,,1861,306.1939778,53.95221846,-1.85104143
ADDINGHAM,,1861,306.1939778,53.98838923,-1.899641117
ALBERBURY,,1861,162.927102,52.7134379,-2.967115707
ALBRIGHTON,,1861,246.1567689,52.62729074,-2.323115054
ALBURY,,1861,256.6541826,51.24578446,-0.527196788
ALBURY,,1861,256.6541826,51.22685333,-0.462539339
ALBURY,,1861,256.6541826,51.2921,-0.435833333
ALBURY,,1861,256.6541826,51.1117,-0.499933333
ALCESTER,,1861,363.53159,52.22588634,-1.842673151
ALDBROUGH,,1861,122,54.49669497,-1.720593138
ALDBROUGH,,1861,112.1636575,53.8332369,-0.144854056
ALDEBURGH,,1861,233.4166026,52.18182372,1.51723845
ALDEBY,,1861,310.8156244,52.50305592,1.570931561
ALDERBURY,,1861,217.1495177,50.99751862,-1.600117612
ALDERBURY,,1861,217.1495177,51.06874103,-1.698057631
ALDERBURY,,1861,217.1495177,51.00105055,-1.646178623
ALDERLEY,,1861,329.0727072,53.26904853,-2.250634241
ALDGATE,LONDON,1861,441.3722334,51.50753593,-0.070463522
ALDINGTON,,1861,153,51.03743333,0.874033333
ALDINGTON,,1861,153,51.05933533,1.03116033
ALDINGTON,,1861,153,51.07231611,0.897290072
ALDINGTON,,1861,153,51.09846667,0.8292
ALDRIDGE,WALSALL,1861,309.4352332,52.59074821,-1.925877961
ALFORD,,1861,707.7206072,53.24905436,0.203384735
ALFORD,,1861,707.7206072,53.29986667,0.2189
ALFRETON,ALFRETON,1861,406.7395906,53.08112458,-1.373457073
ALL SAINTS,,1861,303.2573248,51.68525676,0.676603831
ALL SAINTS,,1861,303.2573248,51.69938652,0.568095959
ALL SAINTS,BIRMINGHAM & SMETHWICK,1861,1078.196788,52.4898257,-1.930677913
ALL SAINTS,HASTINGS,1861,587.7629369,50.86175632,0.604270134
